unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(10),qgtse(10),qgts(5),qgtse(5),qgts(25),qgtse(25),qgts(50),qgtse(50),qgts(100),qgtse(100),qgts(200),qgtse(200),SeasonalNaive
ID37,smape,0.30200383,0.3095498,0.26151007,0.22451943,0.24491356,0.25900364,0.29835537,0.2659254,0.28558233,0.3032139,0.27266514,0.31116787,0.23953122,0.2597798,0.27240223,0.23161568,0.27641758,0.25126207,0.29264405,0.2520718,0.2307188
ID38,smape,0.056363963,0.051764254,0.06354415,0.08226666,0.045771763,0.05709233,0.058559235,0.06384599,0.06488449,0.056439795,0.052403096,0.050844807,0.0681826,0.051480703,0.046058357,0.075492166,0.05030022,0.06446738,0.056363873,0.07351305,0.118368536
ID39,smape,0.09155764,0.07775627,0.09881374,0.056085475,0.03009192,0.09158115,0.09202002,0.07386736,0.080117404,0.08199574,0.09397534,0.0961739,0.08470365,0.097903535,0.08359968,0.096803114,0.07301315,0.09065813,0.0757363,0.09471068,0.11455327
ID4,smape,0.0367809,0.03474991,0.03383759,0.03461897,0.036854524,0.03699322,0.03523598,0.037288845,0.035529524,0.036163103,0.036977716,0.03503009,0.037166476,0.036745284,0.03655714,0.03931234,0.03602027,0.03664266,0.03639394,0.036575366,0.13609739
ID40,smape,0.168786,0.15959264,0.21921912,0.1504299,0.16018209,0.15709138,0.16275713,0.15755865,0.16628143,0.15631603,0.16668051,0.15649253,0.15713148,0.15948841,0.16648859,0.16162324,0.16368315,0.16894332,0.16157785,0.16548315,0.33433178
ID41,smape,0.12911561,0.13412641,0.2294141,0.18016155,0.055798743,0.08574715,0.104682446,0.100689024,0.18019378,0.09908652,0.13414581,0.105644025,0.10843158,0.17579292,0.17999779,0.14683062,0.086938,0.13410483,0.10115144,0.070007056,0.41590333
ID42,smape,0.039120417,0.038480308,0.03814867,0.04704819,0.020507544,0.02572374,0.045080893,0.03938077,0.03634396,0.032565564,0.044316445,0.037411105,0.0387778,0.03373612,0.03299138,0.026247622,0.029458262,0.03696074,0.038754348,0.04899093,0.014119599
ID43,smape,0.0058388673,0.008496347,0.011413256,0.025893288,0.007995091,0.004261779,0.019572433,0.0059752427,0.004316708,0.008721304,0.007643964,0.009490584,0.0052189645,0.0021728359,0.0037116108,0.0016743729,0.007777522,0.003927826,0.0071590827,0.0066252016,0.04795458
ID44,smape,0.043655366,0.04578664,0.037262287,0.04717786,0.045412462,0.046872027,0.044035614,0.048108708,0.042062227,0.045522958,0.043477245,0.041017435,0.044680916,0.040302627,0.04413528,0.042935673,0.047317557,0.044942543,0.043798015,0.041852143,0.024827123
ID45,smape,0.006956635,0.0071014976,0.0029706804,0.003138723,0.003957569,0.0043132757,0.008007298,0.0068673245,0.009191055,0.0052947523,0.008340394,0.0069666826,0.007827816,0.005389442,0.007004683,0.006528152,0.007893452,0.00640859,0.0071238037,0.007678936,0.025862044
